County name,Square miles,Median age,Average family size,Population per square mile,Total population,Crop acreage,Percent white,Percent black,Percent Hispanic,Percent Asian,Percent other or multiple race/ethnicity,Percent renter occupied units,Percent owner occupied units,Percent vacant units
Preble,426.3,37.5,3.02,100.3,42765,172108,0.9847414791,0.0032123202,0.0042752203,0.0026218202,0.0092590406,0.1968462702,0.7342022577,0.0689514721
Putnam,484.2,35,3.29,71.6,34653,275137,0.962564073,0.0016702183,0.0438000346,0.0017566089,0.0339515061,0.1520426566,0.8045949973,0.0433623461
Richland,500.3,37.7,2.98,257.4,128792,120471,0.8816316394,0.0943019899,0.0093130103,0.0050911123,0.0186803464,0.2658776526,0.6676340884,0.066488259
Ross,693,36.9,2.97,106.4,73768,183980,0.9174176836,0.0619537801,0.0058490695,0.0035312564,0.0169064013,0.2436441397,0.6774379688,0.0789178914
Sandusky,412.5,37.3,3.04,149.2,61543,185638,0.9220287416,0.0267024858,0.0695559296,0.0028644485,0.0483234076,0.2322496337,0.7069259098,0.0608244565
Scioto,616.1,36.7,2.96,126.3,77788,58539,0.9487846455,0.0273123303,0.0060231075,0.0023865143,0.0212765957,0.2708932871,0.6356375169,0.093469196
Seneca,552.4,36.3,3.04,104.9,57934,261278,0.950360411,0.0176030537,0.0336042806,0.0037830377,0.0281682941,0.233876414,0.7070319095,0.0590916765
Shelby,411,34.8,3.13,118,48497,181199,0.960363181,0.014902943,0.0079941557,0.0096848257,0.0145272386,0.2426935018,0.7013167755,0.0559897227
Stark,580.9,38.2,3,642.9,373474,106899,0.9027871081,0.0719892726,0.0092357008,0.0054456781,0.0196271866,0.2607945282,0.683748981,0.0554564907
Summit,420.1,37.2,3.02,1298.8,545636,11308,0.8350282465,0.1318993036,0.0088064262,0.0140744411,0.0188138125,0.2807259182,0.6625693001,0.0567047817
Trumbull,634.4,39,3.02,347.8,220652,82052,0.9021304572,0.0789726186,0.0079692248,0.0045043444,0.0142415466,0.2409138219,0.6949861749,0.0641000032
Tuscarawas,571.5,37.9,3.01,161.3,92196,90194,0.9786831511,0.0072926062,0.0071496139,0.0024198693,0.0111313989,0.2343819694,0.7010731247,0.0645449059
Union,436.9,34.5,3.11,103.2,45070,185126,0.9524798944,0.0280867291,0.0075533501,0.0054022342,0.0138600308,0.212394033,0.7303673523,0.0572386147
Van Wert,410.5,37.6,3,71.6,29375,224940,0.9742742506,0.0074850804,0.0155770592,0.001921845,0.016318824,0.1714794144,0.765752649,0.0627679366
Vinton,415,35.5,3.04,31.7,13140,19618,0.9807902546,0.0035139778,0.0046853038,0.0008589724,0.0148367953,0.1917565894,0.6736246241,0.1346187865
Warren,407.3,35.2,3.12,461.6,188024,94343,0.9465599212,0.0273198512,0.01031045,0.0125707936,0.0132526849,0.2047808901,0.748773257,0.0464458529
Washington,640.2,39.1,2.93,98,62766,72096,0.9733126749,0.0092488656,0.0051224487,0.0043319473,0.0126480214,0.2150576369,0.6904538905,0.0944884726
Wayne,556.3,35.4,3.17,205.2,114150,195298,0.9651590119,0.0156771001,0.0075024201,0.006632964,0.012396472,0.2548199603,0.7007844249,0.0443956148
Williams,423.1,36.9,3,93.3,39482,175237,0.9651168725,0.0072215984,0.0267683985,0.0051546392,0.0224303358,0.2174101611,0.7184634449,0.0641263941
Wood,620.7,32.6,3.04,200.9,124717,288322,0.9482674596,0.0127204394,0.0333126833,0.0103002519,0.0285631685,0.278482346,0.6731482262,0.0483694278
Wyandot,407.6,37.4,3.03,56.8,23148,190879,0.9790902741,0.0013968919,0.0145800594,0.0050200803,0.0144491008,0.2405619906,0.712033462,0.0474045474
